joint_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22
FR_hip_joint,0.6857365234502226,-0.21990727739584748,0.40695120911251403,1.0,0.0,0.0,0.0,-0.02173913043478261,-0.9526,0.72,-0.8,-0.9,-1.0,-0.6666666666666666,-0.18760869565217392,0.18760869565217392,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
FR_thigh_joint,0.6857365234502226,-0.5964191316770093,0.4405384155702037,0.0,-0.9950041652780258,0.09983341664682815,0.0,-0.1739130434782609,-0.9526,0.72,-1.0,-0.9,-1.0,-0.6666666666666666,-0.9784782608695654,0.1491304347826087,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
FR_calf_joint,0.2512165148949308,-0.6664951309148222,-0.1804199145609533,0.0,-0.9950041652780257,0.09983341664682817,-1.0,0.32608695652173914,-0.9289000000000001,0.14628571428571413,-1.0,-0.9,-1.0,-0.6666666666666666,0.1930434782608696,0.612608695652174,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
FL_hip_joint,0.6857365234502226,0.22235039854880467,0.40695120911251403,1.0,0.0,0.0,0.0,0.02173913043478261,-0.9526,0.72,-0.8,-0.9,-1.0,-0.6666666666666666,-0.18760869565217392,0.18760869565217392,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
FL_thigh_joint,0.6857365234502226,0.5988622528299667,0.4405384155702037,0.0,0.9950041652780258,0.09983341664682815,0.0,0.1739130434782609,-0.9526,0.72,-1.0,-0.9,-1.0,-0.6666666666666666,-0.1491304347826087,0.9784782608695654,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
FL_calf_joint,0.2512165148949308,0.6689382520677793,-0.1804199145609533,0.0,0.9950041652780257,0.09983341664682817,-1.0,-0.32608695652173914,-0.9289000000000001,0.14628571428571413,-1.0,-0.9,-1.0,-0.6666666666666666,-0.612608695652174,-0.1930434782608696,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
RR_hip_joint,-0.38409201058786857,-0.21990727739584748,0.40695120911251403,-1.0,0.0,0.0,0.0,0.02173913043478261,-0.9526,0.72,-0.8,-0.9,-1.0,-0.6666666666666666,-0.18760869565217392,0.18760869565217392,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
RR_thigh_joint,-0.38409201058786857,-0.5964191316770093,0.4405384155702037,0.0,-0.9950041652780258,0.09983341664682815,0.0,-0.2173913043478261,-0.9526,0.72,-1.0,-0.9,-1.0,-0.6666666666666666,-0.9784782608695654,0.1491304347826087,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
RR_calf_joint,-0.8937914250854451,-0.6507636980005951,-0.041020342393060516,0.0,-0.9950041652780257,0.09983341664682818,-1.0,0.32608695652173914,-0.9289000000000001,0.14628571428571413,-1.0,-0.9,-1.0,-0.6666666666666666,0.1930434782608696,0.612608695652174,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
RL_hip_joint,-0.38409201058786857,0.22235039854880467,0.40695120911251403,-1.0,0.0,0.0,0.0,-0.02173913043478261,-0.9526,0.72,-0.8,-0.9,-1.0,-0.6666666666666666,-0.18760869565217392,0.18760869565217392,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
RL_thigh_joint,-0.38409201058786857,0.5988622528299667,0.4405384155702037,0.0,0.9950041652780258,0.09983341664682815,0.0,0.2173913043478261,-0.9526,0.72,-1.0,-0.9,-1.0,-0.6666666666666666,-0.1491304347826087,0.9784782608695654,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
RL_calf_joint,-0.8937914250854451,0.6532068191535523,-0.041020342393060516,0.0,0.9950041652780257,0.09983341664682818,-1.0,-0.32608695652173914,-0.9289000000000001,0.14628571428571413,-1.0,-0.9,-1.0,-0.6666666666666666,-0.612608695652174,-0.1930434782608696,-0.6,-0.5,-0.375,-0.8500770823529411,-0.2967097286515161,-0.5771695774401826,-0.5244216965881234
