name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
FR_hip_joint,0.68573652,-0.21990728,0.40695121,1,0,0,0,-0.02173913,-0.9526,0.72,-0.8,-0.9,-1,-0.66666667,-0.1876087,0.1876087,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
FR_thigh_joint,0.68573652,-0.59641913,0.44053842,0,-0.99500417,0.09983342,0,-0.17391304,-0.9526,0.72,-1,-0.9,-1,-0.66666667,-0.97847826,0.14913043,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
FR_calf_joint,0.25121651,-0.66649513,-0.18041991,0,-0.99500417,0.09983342,-1,0.32608696,-0.9289,0.14628571,-1,-0.9,-1,-0.66666667,0.19304348,0.6126087,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
FL_hip_joint,0.68573652,0.2223504,0.40695121,1,0,0,0,0.02173913,-0.9526,0.72,-0.8,-0.9,-1,-0.66666667,-0.1876087,0.1876087,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
FL_thigh_joint,0.68573652,0.59886225,0.44053842,0,0.99500417,0.09983342,0,0.17391304,-0.9526,0.72,-1,-0.9,-1,-0.66666667,-0.14913043,0.97847826,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
FL_calf_joint,0.25121651,0.66893825,-0.18041991,0,0.99500417,0.09983342,-1,-0.32608696,-0.9289,0.14628571,-1,-0.9,-1,-0.66666667,-0.6126087,-0.19304348,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
RR_hip_joint,-0.38409201,-0.21990728,0.40695121,-1,0,0,0,0.02173913,-0.9526,0.72,-0.8,-0.9,-1,-0.66666667,-0.1876087,0.1876087,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
RR_thigh_joint,-0.38409201,-0.59641913,0.44053842,0,-0.99500417,0.09983342,0,-0.2173913,-0.9526,0.72,-1,-0.9,-1,-0.66666667,-0.97847826,0.14913043,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
RR_calf_joint,-0.89379143,-0.6507637,-0.04102034,0,-0.99500417,0.09983342,-1,0.32608696,-0.9289,0.14628571,-1,-0.9,-1,-0.66666667,0.19304348,0.6126087,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
RL_hip_joint,-0.38409201,0.2223504,0.40695121,-1,0,0,0,-0.02173913,-0.9526,0.72,-0.8,-0.9,-1,-0.66666667,-0.1876087,0.1876087,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
RL_thigh_joint,-0.38409201,0.59886225,0.44053842,0,0.99500417,0.09983342,0,0.2173913,-0.9526,0.72,-1,-0.9,-1,-0.66666667,-0.14913043,0.97847826,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
RL_calf_joint,-0.89379143,0.65320682,-0.04102034,0,0.99500417,0.09983342,-1,-0.32608696,-0.9289,0.14628571,-1,-0.9,-1,-0.66666667,-0.6126087,-0.19304348,-0.6,-0.5,-0.375,-0.85007708,-0.29670973,-0.57716958,-0.5244217
